### filename	M_nu	Omega_m	10^9*A_s	sigma_8
Om0.29034_As2.67075_mva0.08173_mvb0.08218_mvc0.09600_h0.70000_Ode0.70390	0.25991	0.2960	2.6708	0.8800
Om0.29041_As2.09605_mva0.06222_mvb0.06281_mvc0.08005_h0.70000_Ode0.70504	0.20508	0.2949	2.0961	0.7912
Om0.29070_As1.73764_mva0.01640_mvb0.01851_mvc0.05297_h0.70000_Ode0.70731	0.08788	0.2926	1.7376	0.7429
Om0.29547_As2.23424_mva0.03379_mvb0.03486_mvc0.06065_h0.70000_Ode0.70164	0.12931	0.2983	2.2342	0.8445
Om0.29548_As1.64655_mva0.05307_mvb0.05376_mvc0.07317_h0.70000_Ode0.70051	0.18001	0.2994	1.6465	0.7156
Om0.29580_As2.11185_mva0.08471_mvb0.08514_mvc0.09855_h0.70000_Ode0.69826	0.26840	0.3017	2.1118	0.7927
Om0.29780_As2.10000_mva0.02175_mvb0.02338_mvc0.05486_h0.70000_Ode0.69995	0.10000	0.3000	2.1000	0.8295
Om0.29841_As1.97436_mva0.02091_mvb0.02261_mvc0.05454_h0.70000_Ode0.69939	0.09805	0.3006	1.9744	0.8059
Om0.29997_As2.10000_mva0.00000_mvb0.00000_mvc0.00000_h0.70000_Ode0.69995	0.00000	0.3000	2.1000	0.8523
Om0.30010_As2.31745_mva0.03168_mvb0.03282_mvc0.05950_h0.70000_Ode0.69713	0.12400	0.3028	2.3174	0.8714
Om0.30054_As2.34860_mva0.13523_mvb0.13550_mvc0.14431_h0.70000_Ode0.69029	0.41504	0.3097	2.3486	0.8157
Om0.30087_As2.11975_mva0.03801_mvb0.03897_mvc0.06310_h0.70000_Ode0.69600	0.14008	0.3040	2.1198	0.8318
Om0.30259_As2.21713_mva0.04760_mvb0.04837_mvc0.06930_h0.70000_Ode0.69373	0.16527	0.3062	2.2171	0.8490
Om0.30276_As1.91171_mva0.02420_mvb0.02567_mvc0.05588_h0.70000_Ode0.69486	0.10575	0.3051	1.9117	0.8004
Om0.30361_As2.44746_mva0.04977_mvb0.05051_mvc0.07081_h0.70000_Ode0.69258	0.17109	0.3074	2.4475	0.8931
Om0.30442_As2.26973_mva0.09276_mvb0.09316_mvc0.10555_h0.70000_Ode0.68913	0.29147	0.3108	2.2697	0.8359
Om0.30596_As1.80560_mva0.02849_mvb0.02976_mvc0.05787_h0.70000_Ode0.69144	0.11612	0.3085	1.8056	0.7821
Om0.30805_As1.98287_mva0.20469_mvb0.20487_mvc0.21080_h0.70000_Ode0.67827	0.62036	0.3217	1.9829	0.7283
Om0.30860_As2.04845_mva0.04331_mvb0.04415_mvc0.06643_h0.70000_Ode0.68797	0.15389	0.3120	2.0484	0.8307
Om0.31128_As1.99129_mva0.01524_mvb0.01749_mvc0.05262_h0.70000_Ode0.68679	0.08535	0.3132	1.9913	0.8378
Om0.31173_As2.00790_mva0.02956_mvb0.03078_mvc0.05840_h0.70000_Ode0.68561	0.11874	0.3143	2.0079	0.8358
Om0.31250_As2.27894_mva0.07747_mvb0.07794_mvc0.09240_h0.70000_Ode0.68200	0.24782	0.3179	2.2789	0.8643
Om0.31349_As2.49487_mva0.01868_mvb0.02056_mvc0.05372_h0.70000_Ode0.68442	0.09295	0.3155	2.4949	0.9411
Om0.31360_As2.15957_mva0.03907_mvb0.04000_mvc0.06374_h0.70000_Ode0.68322	0.14281	0.3167	2.1596	0.8656
Om0.31453_As2.91139_mva0.06461_mvb0.06518_mvc0.08192_h0.70000_Ode0.68077	0.21171	0.3192	2.9114	0.9905
Om0.31660_As2.05643_mva0.05087_mvb0.05159_mvc0.07158_h0.70000_Ode0.67953	0.17404	0.3204	2.0564	0.8444
Om0.31717_As2.60343_mva0.14465_mvb0.14491_mvc0.15317_h0.70000_Ode0.67305	0.44273	0.3269	2.6034	0.8913
Om0.31808_As1.93933_mva0.06829_mvb0.06883_mvc0.08486_h0.70000_Ode0.67700	0.22198	0.3230	1.9393	0.8133
Om0.31947_As2.08025_mva0.08781_mvb0.08823_mvc0.10123_h0.70000_Ode0.67439	0.27728	0.3256	2.0802	0.8337
Om0.31995_As1.90218_mva0.05872_mvb0.05934_mvc0.07736_h0.70000_Ode0.67570	0.19543	0.3242	1.9022	0.8143
Om0.32469_As2.40685_mva0.06955_mvb0.07008_mvc0.08587_h0.70000_Ode0.67030	0.22550	0.3296	2.4068	0.9192
Om0.32526_As1.99963_mva0.10618_mvb0.10652_mvc0.11752_h0.70000_Ode0.66744	0.33021	0.3325	1.9996	0.8184
Om0.32666_As2.28829_mva0.00908_mvb0.01249_mvc0.05118_h0.70000_Ode0.67169	0.07275	0.3283	2.2883	0.9324
Om0.32687_As1.75254_mva0.10405_mvb0.10440_mvc0.11560_h0.70000_Ode0.66596	0.32406	0.3340	1.7525	0.7701
Om0.32750_As2.10395_mva0.04652_mvb0.04731_mvc0.06857_h0.70000_Ode0.66889	0.16240	0.3311	2.1039	0.8779
Om0.32978_As2.15155_mva0.15751_mvb0.15774_mvc0.16537_h0.70000_Ode0.65961	0.48062	0.3403	2.1516	0.8287
Om0.33292_As2.57694_mva0.05644_mvb0.05709_mvc0.07564_h0.70000_Ode0.66287	0.18917	0.3371	2.5769	0.9770
Om0.33386_As1.56595_mva0.01037_mvb0.01347_mvc0.05142_h0.70000_Ode0.66444	0.07526	0.3355	1.5659	0.7828
Om0.33466_As2.02427_mva0.05419_mvb0.05486_mvc0.07398_h0.70000_Ode0.66127	0.18303	0.3387	2.0243	0.8705
Om0.33625_As2.47811_mva0.08320_mvb0.08364_mvc0.09726_h0.70000_Ode0.65789	0.26411	0.3421	2.4781	0.9486
Om0.34088_As2.03237_mva0.03590_mvb0.03691_mvc0.06185_h0.70000_Ode0.65611	0.13467	0.3438	2.0324	0.8934
Om0.34177_As1.78021_mva0.11569_mvb0.11601_mvc0.12618_h0.70000_Ode0.65031	0.35789	0.3496	1.7802	0.7965
Om0.34250_As1.48261_mva0.07211_mvb0.07262_mvc0.08796_h0.70000_Ode0.65233	0.23270	0.3476	1.4826	0.7488
Om0.34302_As1.94826_mva0.03062_mvb0.03180_mvc0.05894_h0.70000_Ode0.65426	0.12136	0.3457	1.9483	0.8811
Om0.34515_As1.59657_mva0.13127_mvb0.13155_mvc0.14060_h0.70000_Ode0.64593	0.40343	0.3540	1.5966	0.7521
Om0.34845_As2.24294_mva0.04225_mvb0.04311_mvc0.06574_h0.70000_Ode0.64818	0.15110	0.3518	2.2429	0.9494
Om0.34977_As2.33796_mva0.17943_mvb0.17963_mvc0.18636_h0.70000_Ode0.63820	0.54543	0.3617	2.3380	0.8916
Om0.35339_As1.66776_mva0.03696_mvb0.03794_mvc0.06247_h0.70000_Ode0.64354	0.13737	0.3564	1.6678	0.8292
Om0.35688_As2.46236_mva0.01980_mvb0.02158_mvc0.05412_h0.70000_Ode0.64097	0.09550	0.3590	2.4624	1.0231
Om0.35975_As2.32758_mva0.07082_mvb0.07134_mvc0.08691_h0.70000_Ode0.63517	0.22907	0.3648	2.3276	0.9720
Om0.36139_As2.51283_mva0.09813_mvb0.09851_mvc0.11030_h0.70000_Ode0.63181	0.30694	0.3681	2.5128	0.9964
Om0.37386_As2.04043_mva0.02635_mvb0.02772_mvc0.05685_h0.70000_Ode0.62366	0.11092	0.3763	2.0404	0.9574
Om0.38016_As2.20037_mva0.00312_mvb0.00913_mvc0.05046_h0.70000_Ode0.61841	0.06271	0.3815	2.2004	1.0135
Om0.38300_As2.19210_mva0.07342_mvb0.07392_mvc0.08904_h0.70000_Ode0.61175	0.23638	0.3882	2.1921	0.9827
Om0.39539_As2.26067_mva0.02311_mvb0.02465_mvc0.05542_h0.70000_Ode0.60230	0.10318	0.3977	2.2607	1.0456
Om0.41442_As1.62306_mva0.00631_mvb0.01066_mvc0.05076_h0.70000_Ode0.58404	0.06773	0.4159	1.6231	0.9171
